Please select your  age (in years) below :,How often do you find that you stay online longer than you intended?  [Your response],How often do your grades or school work suffer because of the amount of time you spend online?  [Your response],How often does your job performance or productivity suffer because of the social media?  [Your response],How often do you check your social media account before something else that you need to do? [Your response],How often do you lose sleep due to being online?  [Your response],How often do you try to cut down the amount of time you spend online and fail? [Your response],"How often do you feel depressed, moody, or nervous when you are off-line, which goes away once you are back online? [Your response]","In a day, how much time do you spend on social media platforms?",How well are you able to concentrate?,Are you able to accept your bodily appearance?,How satisfied are you with the support you get from your friends?,"How often do you have negative feelings, such as blue mood, despair, anxiety, depression? ",Highest level of eduaction attained :,Field of education / profession :,Type of settlement : ,When did you start using social media actively?
18-22,Often,Occasionally,Frequently,Rarely,Rarely,Frequently,Often,1 to 2 hours,2,1,3,2,Bachelor's Degree,Management,Urban,3 years ago
18-22,Often,Frequently,Occasionally,Occasionally,Frequently,Always,Often,greater than 3 hours,2,3,3,5,Bachelor's Degree,Finance,Urban,3 years ago
18-22,Often,Frequently,Always,Often,Often,Always,Often,2 to 3 hours,2,4,3,4,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
18-22,Often,Not Applicable,Not Applicable,Occasionally,Occasionally,Rarely,Not Applicable,2 to 3 hours,4,2,4,2,Bachelor's Degree,Engineering,Urban,3 years ago
18-22,Often,Occasionally,Occasionally,Always,Rarely,Rarely,Not Applicable,2 to 3 hours,4,5,5,3,Bachelor's Degree,Management,Urban,4 years ago or higher
18-22,Often,Rarely,Occasionally,Frequently,Occasionally,Rarely,Rarely,greater than 3 hours,5,5,4,1,Bachelor's Degree,Management,Urban,3 years ago
18-22,Often,Often,Often,Occasionally,Occasionally,Occasionally,Rarely,2 to 3 hours,5,5,5,3,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Often,Often,Often,Often,Often,Occasionally,Rarely,greater than 3 hours,2,2,2,5,12th standard,"Arts, Psychology and Sociology",Urban,4 years ago or higher
23-25,Often,Frequently,Rarely,Frequently,Rarely,Rarely,Frequently,greater than 3 hours,4,5,4,3,12th standard,"Arts, Psychology and Sociology",Urban,4 years ago or higher
23-25,Often,Rarely,Occasionally,Frequently,Rarely,Occasionally,Rarely,2 to 3 hours,4,3,4,1,12th standard,Engineering,Rural,2 years ago
23-25,Often,Occasionally,Frequently,Rarely,Rarely,Occasionally,Rarely,1 to 2 hours,3,2,4,3,Bachelor's Degree,Education Teaching,Urban,4 years ago or higher
23-25,Often,Frequently,Frequently,Often,Often,Frequently,Rarely,greater than 3 hours,2,4,3,4,Bachelor's Degree,Management,Urban,4 years ago or higher
23-25,Often,Rarely,Rarely,Occasionally,Frequently,Frequently,Not Applicable,2 to 3 hours,4,3,4,2,Bachelor's Degree,Engineering,Urban,4 years ago or higher
23-25,Often,Often,Always,Always,Frequently,Rarely,Occasionally,2 to 3 hours,1,4,4,3,Bachelor's Degree,Finance,Rural,4 years ago or higher
23-25,Often,Occasionally,Occasionally,Always,Frequently,Rarely,Occasionally,2 to 3 hours,4,3,4,3,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,less than an year ago
23-25,Often,Rarely,Rarely,Not Applicable,Not Applicable,Not Applicable,Rarely,less than an hour,3,4,5,3,Bachelor's Degree,Management,Urban,4 years ago or higher
23-25,Often,Occasionally,Occasionally,Occasionally,Often,Occasionally,Occasionally,1 to 2 hours,4,4,4,4,Bachelor's Degree,Education Teaching,Urban,4 years ago or higher
23-25,Often,Occasionally,Rarely,Frequently,Frequently,Frequently,Occasionally,2 to 3 hours,4,3,3,5,Bachelor's Degree,Management,Urban,4 years ago or higher
23-25,Often,Frequently,Frequently,Frequently,Rarely,Frequently,Rarely,1 to 2 hours,3,4,4,1,Bachelor's Degree,Management,Rural,less than an year ago
23-25,Often,Not Applicable,Occasionally,Often,Frequently,Frequently,Rarely,greater than 3 hours,3,4,4,3,Bachelor's Degree,Engineering,Urban,4 years ago or higher
23-25,Often,Not Applicable,Not Applicable,Rarely,Occasionally,Not Applicable,Not Applicable,greater than 3 hours,5,5,5,4,Bachelor's Degree,Management,Urban,4 years ago or higher
23-25,Often,Rarely,Rarely,Frequently,Frequently,Frequently,Rarely,1 to 2 hours,4,2,1,2,Master's Degree,Mass-communication,Urban,2 years ago
23-25,Often,Occasionally,Occasionally,Frequently,Frequently,Occasionally,Rarely,2 to 3 hours,4,4,4,2,Master's Degree,Engineering,Urban,4 years ago or higher
23-25,Often,Occasionally,Occasionally,Occasionally,Rarely,Frequently,Always,2 to 3 hours,3,3,2,4,Master's Degree,Mass-communication,Urban,4 years ago or higher
23-25,Often,Occasionally,Rarely,Occasionally,Occasionally,Rarely,Often,greater than 3 hours,5,3,3,5,Master's Degree,Designing,Urban,2 years ago
23-25,Often,Frequently,Occasionally,Always,Often,Often,Occasionally,2 to 3 hours,4,4,3,3,Master's Degree,Medical,Rural,4 years ago or higher
23-25,Often,Frequently,Rarely,Often,Rarely,Frequently,Rarely,1 to 2 hours,4,3,2,2,Master's Degree,Education Teaching,Urban,4 years ago or higher
26-28,Often,Occasionally,Rarely,Often,Always,Frequently,Occasionally,1 to 2 hours,3,2,2,4,Bachelor's Degree,Finance,Urban,4 years ago or higher
26-28,Often,Not Applicable,Rarely,Rarely,Often,Frequently,Not Applicable,less than an hour,4,2,4,2,Bachelor's Degree,Engineering,Urban,2 years ago
26-28,Often,Often,Often,Often,Frequently,Frequently,Rarely,2 to 3 hours,4,2,5,4,Bachelor's Degree,Engineering,Urban,3 years ago
26-28,Often,Frequently,Occasionally,Often,Frequently,Occasionally,Rarely,2 to 3 hours,3,4,4,2,Bachelor's Degree,Finance,Urban,4 years ago or higher
26-28,Often,Not Applicable,Occasionally,Occasionally,Frequently,Occasionally,Rarely,greater than 3 hours,3,2,4,3,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
26-28,Often,Occasionally,Rarely,Rarely,Rarely,Not Applicable,Not Applicable,1 to 2 hours,4,5,5,3,Bachelor's Degree,Management,Urban,4 years ago or higher
26-28,Often,Rarely,Occasionally,Occasionally,Rarely,Rarely,Rarely,2 to 3 hours,3,4,4,3,Master's Degree,Management,Urban,4 years ago or higher
26-28,Often,Not Applicable,Frequently,Often,Frequently,Always,Frequently,greater than 3 hours,3,3,3,4,Master's Degree,Finance,Urban,4 years ago or higher
26-28,Often,Rarely,Not Applicable,Frequently,Often,Frequently,Not Applicable,greater than 3 hours,4,3,4,5,Master's Degree,Engineering,Urban,4 years ago or higher
Above 28,Often,Frequently,Rarely,Rarely,Occasionally,Occasionally,Rarely,1 to 2 hours,4,5,3,4,Bachelor's Degree,Engineering,Urban,4 years ago or higher
Above 28,Often,Not Applicable,Occasionally,Often,Often,Often,Frequently,greater than 3 hours,3,3,3,3,Bachelor's Degree,"Arts, Psychology and Sociology",Rural,4 years ago or higher
Above 28,Often,Frequently,Rarely,Always,Often,Rarely,Often,greater than 3 hours,3,2,2,3,Diploma,Finance,Urban,4 years ago or higher
Above 28,Often,Occasionally,Rarely,Often,Occasionally,Occasionally,Not Applicable,1 to 2 hours,4,4,5,1,Master's Degree,Medical,Urban,4 years ago or higher
Above 28,Often,Frequently,Frequently,Occasionally,Often,Frequently,Rarely,2 to 3 hours,4,3,4,3,Master's Degree,Tourism management,Urban,3 years ago
below 18,Often,Often,Rarely,Always,Often,Not Applicable,Always,2 to 3 hours,4,4,5,2,10th standard,Engineering,Rural,less than an year ago
below 18,Often,Always,Always,Rarely,Rarely,Often,Always,greater than 3 hours,2,1,4,2,10th standard,"Arts, Psychology and Sociology",Urban,less than an year ago
below 18,Often,Frequently,Not Applicable,Frequently,Rarely,Occasionally,Frequently,2 to 3 hours,4,3,2,4,10th standard,Engineering,Urban,less than an year ago
18-22,Rarely,Not Applicable,Not Applicable,Rarely,Occasionally,Rarely,Rarely,greater than 3 hours,2,4,4,3,12th standard,Management,Rural,4 years ago or higher
18-22,Rarely,Rarely,Rarely,Rarely,Rarely,Occasionally,Rarely,less than an hour,4,3,3,4,12th standard,Designing,Urban,2 years ago
18-22,Rarely,Not Applicable,Not Applicable,Rarely,Occasionally,Not Applicable,Not Applicable,1 to 2 hours,4,5,5,2,12th standard,Designing,Urban,4 years ago or higher
18-22,Rarely,Rarely,Not Applicable,Occasionally,Occasionally,Rarely,Occasionally,greater than 3 hours,4,4,5,5,12th standard,Engineering,Urban,3 years ago
18-22,Rarely,Rarely,Not Applicable,Rarely,Rarely,Rarely,Rarely,2 to 3 hours,3,2,3,1,12th standard,Engineering,Urban,4 years ago or higher
18-22,Rarely,Frequently,Not Applicable,Not Applicable,Rarely,Not Applicable,Not Applicable,greater than 3 hours,1,3,5,1,12th standard,Engineering,Rural,4 years ago or higher
18-22,Rarely,Always,Often,Frequently,Always,Rarely,Not Applicable,2 to 3 hours,3,2,4,2,Bachelor's Degree,Engineering,Urban,4 years ago or higher
18-22,Rarely,Not Applicable,Not Applicable,Rarely,Occasionally,Rarely,Not Applicable,1 to 2 hours,4,4,4,2,Bachelor's Degree,Engineering,Urban,4 years ago or higher
18-22,Rarely,Rarely,Rarely,Occasionally,Rarely,Not Applicable,Rarely,2 to 3 hours,4,5,4,5,Bachelor's Degree,Management,Urban,4 years ago or higher
18-22,Rarely,Rarely,Rarely,Occasionally,Occasionally,Rarely,Not Applicable,less than an hour,4,4,5,3,Bachelor's Degree,Finance,Rural,4 years ago or higher
18-22,Rarely,Not Applicable,Occasionally,Not Applicable,Occasionally,Not Applicable,Not Applicable,less than an hour,5,5,5,3,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
18-22,Rarely,Always,Rarely,Rarely,Often,Occasionally,Not Applicable,less than an hour,3,5,3,2,Bachelor's Degree,Finance,Rural,4 years ago or higher
18-22,Rarely,Not Applicable,Not Applicable,Rarely,Not Applicable,Not Applicable,Not Applicable,2 to 3 hours,4,4,4,4,Bachelor's Degree,Engineering,Urban,3 years ago
18-22,Rarely,Rarely,Occasionally,Occasionally,Rarely,Rarely,Rarely,2 to 3 hours,3,2,5,1,Bachelor's Degree,Management,Urban,2 years ago
18-22,Rarely,Rarely,Not Applicable,Rarely,Rarely,Always,Not Applicable,less than an hour,4,5,3,2,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
18-22,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,greater than 3 hours,3,5,1,3,Bachelor's Degree,Engineering,Urban,4 years ago or higher
18-22,Rarely,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Rarely,2 to 3 hours,4,5,5,3,Bachelor's Degree,Tourism management,Urban,3 years ago
18-22,Rarely,Not Applicable,Not Applicable,Occasionally,Not Applicable,Not Applicable,Not Applicable,2 to 3 hours,4,5,4,2,Bachelor's Degree,Designing,Urban,4 years ago or higher
18-22,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,2 to 3 hours,4,4,5,1,Bachelor's Degree,Engineering,Urban,4 years ago or higher
18-22,Rarely,Occasionally,Occasionally,Rarely,Occasionally,Rarely,Rarely,greater than 3 hours,4,3,2,5,Master's Degree,Finance,Urban,4 years ago or higher
18-22,Rarely,Occasionally,Occasionally,Rarely,Occasionally,Rarely,Rarely,greater than 3 hours,4,3,2,5,Master's Degree,Finance,Urban,4 years ago or higher
18-22,Rarely,Not Applicable,Rarely,Rarely,Not Applicable,Rarely,Rarely,1 to 2 hours,5,4,4,3,Master's Degree,"Arts, Psychology and Sociology",Rural,2 years ago
18-22,Rarely,Rarely,Not Applicable,Rarely,Rarely,Rarely,Rarely,2 to 3 hours,5,4,3,5,Master's Degree,Fine Arts,Rural,4 years ago or higher
18-22,Rarely,Rarely,Not Applicable,Rarely,Rarely,Rarely,Rarely,2 to 3 hours,5,4,3,5,Master's Degree,Fine Arts,Rural,4 years ago or higher
23-25,Rarely,Not Applicable,Rarely,Rarely,Rarely,Always,Rarely,less than an hour,3,4,5,2,12th standard,"Arts, Psychology and Sociology",Rural,2 years ago
23-25,Rarely,Not Applicable,Occasionally,Rarely,Rarely,Rarely,Occasionally,1 to 2 hours,4,5,4,4,12th standard,Finance,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Occasionally,Rarely,Occasionally,Rarely,2 to 3 hours,3,3,2,2,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Rarely,Occasionally,Occasionally,Occasionally,1 to 2 hours,4,4,4,3,Bachelor's Degree,Designing,Urban,2 years ago
23-25,Rarely,Not Applicable,Rarely,Not Applicable,Occasionally,Rarely,Not Applicable,1 to 2 hours,4,5,5,2,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Not Applicable,Frequently,Rarely,Not Applicable,greater than 3 hours,3,3,3,4,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,Rarely,less than an hour,4,4,5,3,Bachelor's Degree,Management,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,1 to 2 hours,3,4,5,2,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Rarely,Occasionally,Occasionally,Rarely,2 to 3 hours,4,4,4,5,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Rarely,Not Applicable,Occasionally,Occasionally,Rarely,Not Applicable,Not Applicable,2 to 3 hours,4,4,4,3,Master's Degree,Management,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,1 to 2 hours,4,4,4,4,Master's Degree,Management,Urban,4 years ago or higher
23-25,Rarely,Rarely,Not Applicable,Rarely,Not Applicable,Rarely,Not Applicable,2 to 3 hours,5,4,3,3,Master's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
23-25,Rarely,Rarely,Occasionally,Rarely,Occasionally,Not Applicable,Rarely,1 to 2 hours,3,4,2,4,Master's Degree,Engineering,Urban,4 years ago or higher
23-25,Rarely,Rarely,Not Applicable,Rarely,Occasionally,Rarely,Occasionally,greater than 3 hours,3,4,4,2,Master's Degree,Mass-communication,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Occasionally,Rarely,Not Applicable,Rarely,2 to 3 hours,4,4,3,2,Master's Degree,Designing,Urban,4 years ago or higher
26-28,Rarely,Not Applicable,Not Applicable,Rarely,Rarely,Not Applicable,Not Applicable,2 to 3 hours,3,4,4,3,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
26-28,Rarely,Rarely,Not Applicable,Rarely,Occasionally,Frequently,Frequently,1 to 2 hours,2,2,3,1,Bachelor's Degree,Engineering,Urban,2 years ago
26-28,Rarely,Not Applicable,Rarely,Not Applicable,Rarely,Rarely,Not Applicable,1 to 2 hours,3,5,4,3,Bachelor's Degree,Finance,Urban,4 years ago or higher
26-28,Rarely,Rarely,Rarely,Not Applicable,Occasionally,Rarely,Not Applicable,2 to 3 hours,4,5,5,4,Bachelor's Degree,Finance,Urban,4 years ago or higher
26-28,Rarely,Rarely,Not Applicable,Rarely,Occasionally,Rarely,Not Applicable,2 to 3 hours,4,5,4,2,Master's Degree,Education Teaching,Urban,4 years ago or higher
26-28,Rarely,Not Applicable,Rarely,Occasionally,Rarely,Always,Occasionally,less than an hour,2,1,2,4,Master's Degree,Mass-communication,Urban,3 years ago
26-28,Rarely,Not Applicable,Rarely,Rarely,Rarely,Rarely,Not Applicable,less than an hour,5,5,5,1,Master's Degree,Finance,Urban,4 years ago or higher
26-28,Rarely,Rarely,Occasionally,Frequently,Rarely,Rarely,Not Applicable,1 to 2 hours,4,3,3,1,Master's Degree,Education Teaching,Urban,3 years ago
26-28,Rarely,Rarely,Rarely,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1 to 2 hours,1,1,2,5,Master's Degree,Finance,Urban,4 years ago or higher
Above 28,Rarely,Not Applicable,Rarely,Occasionally,Rarely,Rarely,Rarely,less than an hour,4,3,5,3,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,3 years ago
Above 28,Rarely,Rarely,Occasionally,Rarely,Occasionally,Occasionally,Rarely,greater than 3 hours,3,3,3,4,Bachelor's Degree,Management,Urban,4 years ago or higher
Above 28,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,2 to 3 hours,5,5,4,1,Bachelor's Degree,Engineering,Urban,4 years ago or higher
Above 28,Rarely,Not Applicable,Rarely,Rarely,Rarely,Occasionally,Rarely,2 to 3 hours,5,2,5,1,Bachelor's Degree,Engineering,Urban,4 years ago or higher
Above 28,Rarely,Not Applicable,Rarely,Rarely,Rarely,Occasionally,Rarely,2 to 3 hours,5,2,5,1,Bachelor's Degree,Management,Urban,4 years ago or higher
Above 28,Rarely,Rarely,Rarely,Rarely,Frequently,Rarely,Rarely,1 to 2 hours,3,2,3,4,Diploma,Mass-communication,Urban,4 years ago or higher
Above 28,Rarely,Not Applicable,Not Applicable,Frequently,Often,Rarely,Rarely,greater than 3 hours,5,5,5,4,Diploma,"Arts, Psychology and Sociology",Urban,4 years ago or higher
Above 28,Rarely,Rarely,Not Applicable,Rarely,Rarely,Rarely,Rarely,2 to 3 hours,4,2,5,3,Diploma,Finance,Urban,4 years ago or higher
Above 28,Rarely,Rarely,Not Applicable,Rarely,Rarely,Rarely,Rarely,2 to 3 hours,4,2,5,3,Diploma,Finance,Urban,4 years ago or higher
Above 28,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,Rarely,2 to 3 hours,4,5,4,2,Master's Degree,Engineering,Urban,4 years ago or higher
Above 28,Rarely,Not Applicable,Rarely,Rarely,Rarely,Rarely,Rarely,1 to 2 hours,5,4,4,1,Master's Degree,Medical,Urban,4 years ago or higher
Above 28,Rarely,Not Applicable,Not Applicable,Not Applicable,Rarely,Not Applicable,Rarely,less than an hour,2,1,5,3,Master's Degree,Education Teaching,Urban,4 years ago or higher
Above 28,Rarely,Not Applicable,Not Applicable,Not Applicable,Rarely,Not Applicable,Rarely,less than an hour,2,1,5,3,Master's Degree,Education Teaching,Urban,4 years ago or higher
Above 28,Rarely,Not Applicable,Not Applicable,Not Applicable,Rarely,Not Applicable,Rarely,less than an hour,2,1,5,3,Master's Degree,Education Teaching,Urban,4 years ago or higher
Above 28,Rarely,Not Applicable,Not Applicable,Not Applicable,Rarely,Not Applicable,Rarely,less than an hour,2,1,5,3,Master's Degree,Education Teaching,Urban,4 years ago or higher
Above 28,Rarely,Rarely,Rarely,Not Applicable,Rarely,Not Applicable,Rarely,less than an hour,3,3,4,2,Master's Degree,Education Teaching,Urban,less than an year ago
Above 28,Rarely,Rarely,Not Applicable,Occasionally,Rarely,Not Applicable,Occasionally,greater than 3 hours,3,1,3,5,Master's Degree,Tourism management,Urban,4 years ago or higher
below 18,Rarely,Occasionally,Rarely,Rarely,Often,Rarely,Rarely,2 to 3 hours,2,5,3,3,10th standard,"Arts, Psychology and Sociology",Urban,4 years ago or higher
below 18,Rarely,Rarely,Rarely,Rarely,Not Applicable,Occasionally,Not Applicable,2 to 3 hours,3,4,5,5,12th standard,Engineering,Rural,2 years ago
18-22,Rarely,Not Applicable,Not Applicable,Rarely,Occasionally,Rarely,Rarely,greater than 3 hours,2,4,4,3,12th standard,Management,Rural,4 years ago or higher
18-22,Rarely,Rarely,Rarely,Rarely,Rarely,Occasionally,Rarely,less than an hour,4,3,3,4,12th standard,Designing,Urban,2 years ago
18-22,Rarely,Not Applicable,Not Applicable,Rarely,Occasionally,Not Applicable,Not Applicable,1 to 2 hours,4,5,5,2,12th standard,Designing,Urban,4 years ago or higher
18-22,Rarely,Rarely,Not Applicable,Occasionally,Occasionally,Rarely,Occasionally,greater than 3 hours,4,4,5,5,12th standard,Engineering,Urban,3 years ago
18-22,Rarely,Rarely,Not Applicable,Rarely,Rarely,Rarely,Rarely,2 to 3 hours,3,2,3,1,12th standard,Engineering,Urban,4 years ago or higher
18-22,Rarely,Frequently,Not Applicable,Not Applicable,Rarely,Not Applicable,Not Applicable,greater than 3 hours,1,3,5,1,12th standard,Engineering,Rural,4 years ago or higher
18-22,Rarely,Always,Often,Frequently,Always,Rarely,Not Applicable,2 to 3 hours,3,2,4,2,Bachelor's Degree,Engineering,Urban,4 years ago or higher
18-22,Rarely,Not Applicable,Not Applicable,Rarely,Occasionally,Rarely,Not Applicable,1 to 2 hours,4,4,4,2,Bachelor's Degree,Engineering,Urban,4 years ago or higher
18-22,Rarely,Rarely,Rarely,Occasionally,Rarely,Not Applicable,Rarely,2 to 3 hours,4,5,4,5,Bachelor's Degree,Management,Urban,4 years ago or higher
18-22,Rarely,Rarely,Rarely,Occasionally,Occasionally,Rarely,Not Applicable,less than an hour,4,4,5,3,Bachelor's Degree,Finance,Rural,4 years ago or higher
18-22,Rarely,Not Applicable,Occasionally,Not Applicable,Occasionally,Not Applicable,Not Applicable,less than an hour,5,5,5,3,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
18-22,Rarely,Always,Rarely,Rarely,Often,Occasionally,Not Applicable,less than an hour,3,5,3,2,Bachelor's Degree,Finance,Rural,4 years ago or higher
18-22,Rarely,Not Applicable,Not Applicable,Rarely,Not Applicable,Not Applicable,Not Applicable,2 to 3 hours,4,4,4,4,Bachelor's Degree,Engineering,Urban,3 years ago
18-22,Rarely,Rarely,Occasionally,Occasionally,Rarely,Rarely,Rarely,2 to 3 hours,3,2,5,1,Bachelor's Degree,Management,Urban,2 years ago
18-22,Rarely,Rarely,Not Applicable,Rarely,Rarely,Always,Not Applicable,less than an hour,4,5,3,2,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
18-22,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,greater than 3 hours,3,5,1,3,Bachelor's Degree,Engineering,Urban,4 years ago or higher
18-22,Rarely,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Rarely,2 to 3 hours,4,5,5,3,Bachelor's Degree,Tourism management,Urban,3 years ago
18-22,Rarely,Not Applicable,Not Applicable,Occasionally,Not Applicable,Not Applicable,Not Applicable,2 to 3 hours,4,5,4,2,Bachelor's Degree,Designing,Urban,4 years ago or higher
18-22,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,2 to 3 hours,4,4,5,1,Bachelor's Degree,Engineering,Urban,4 years ago or higher
18-22,Rarely,Occasionally,Occasionally,Rarely,Occasionally,Rarely,Rarely,greater than 3 hours,4,3,2,5,Master's Degree,Finance,Urban,4 years ago or higher
18-22,Rarely,Occasionally,Occasionally,Rarely,Occasionally,Rarely,Rarely,greater than 3 hours,4,3,2,5,Master's Degree,Finance,Urban,4 years ago or higher
18-22,Rarely,Not Applicable,Rarely,Rarely,Not Applicable,Rarely,Rarely,1 to 2 hours,5,4,4,3,Master's Degree,"Arts, Psychology and Sociology",Rural,2 years ago
18-22,Rarely,Rarely,Not Applicable,Rarely,Rarely,Rarely,Rarely,2 to 3 hours,5,4,3,5,Master's Degree,Fine Arts,Rural,4 years ago or higher
18-22,Rarely,Rarely,Not Applicable,Rarely,Rarely,Rarely,Rarely,2 to 3 hours,5,4,3,5,Master's Degree,Fine Arts,Rural,4 years ago or higher
23-25,Rarely,Not Applicable,Rarely,Rarely,Rarely,Always,Rarely,less than an hour,3,4,5,2,12th standard,"Arts, Psychology and Sociology",Rural,2 years ago
23-25,Rarely,Not Applicable,Occasionally,Rarely,Rarely,Rarely,Occasionally,1 to 2 hours,4,5,4,4,12th standard,Finance,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Occasionally,Rarely,Occasionally,Rarely,2 to 3 hours,3,3,2,2,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Rarely,Occasionally,Occasionally,Occasionally,1 to 2 hours,4,4,4,3,Bachelor's Degree,Designing,Urban,2 years ago
23-25,Rarely,Not Applicable,Rarely,Not Applicable,Occasionally,Rarely,Not Applicable,1 to 2 hours,4,5,5,2,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Not Applicable,Frequently,Rarely,Not Applicable,greater than 3 hours,3,3,3,4,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,Rarely,less than an hour,4,4,5,3,Bachelor's Degree,Management,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,1 to 2 hours,3,4,5,2,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Rarely,Occasionally,Occasionally,Rarely,2 to 3 hours,4,4,4,5,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Rarely,Not Applicable,Occasionally,Occasionally,Rarely,Not Applicable,Not Applicable,2 to 3 hours,4,4,4,3,Master's Degree,Management,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,1 to 2 hours,4,4,4,4,Master's Degree,Management,Urban,4 years ago or higher
23-25,Rarely,Rarely,Not Applicable,Rarely,Not Applicable,Rarely,Not Applicable,2 to 3 hours,5,4,3,3,Master's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
23-25,Rarely,Rarely,Occasionally,Rarely,Occasionally,Not Applicable,Rarely,1 to 2 hours,3,4,2,4,Master's Degree,Engineering,Urban,4 years ago or higher
23-25,Rarely,Rarely,Not Applicable,Rarely,Occasionally,Rarely,Occasionally,greater than 3 hours,3,4,4,2,Master's Degree,Mass-communication,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Occasionally,Rarely,Not Applicable,Rarely,2 to 3 hours,4,4,3,2,Master's Degree,Designing,Urban,4 years ago or higher
26-28,Rarely,Not Applicable,Not Applicable,Rarely,Rarely,Not Applicable,Not Applicable,2 to 3 hours,3,4,4,3,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
26-28,Rarely,Rarely,Not Applicable,Rarely,Occasionally,Frequently,Frequently,1 to 2 hours,2,2,3,1,Bachelor's Degree,Engineering,Urban,2 years ago
26-28,Rarely,Not Applicable,Rarely,Not Applicable,Rarely,Rarely,Not Applicable,1 to 2 hours,3,5,4,3,Bachelor's Degree,Finance,Urban,4 years ago or higher
26-28,Rarely,Rarely,Rarely,Not Applicable,Occasionally,Rarely,Not Applicable,2 to 3 hours,4,5,5,4,Bachelor's Degree,Finance,Urban,4 years ago or higher
26-28,Rarely,Rarely,Not Applicable,Rarely,Occasionally,Rarely,Not Applicable,2 to 3 hours,4,5,4,2,Master's Degree,Education Teaching,Urban,4 years ago or higher
26-28,Rarely,Not Applicable,Rarely,Occasionally,Rarely,Always,Occasionally,less than an hour,2,1,2,4,Master's Degree,Mass-communication,Urban,3 years ago
26-28,Rarely,Not Applicable,Rarely,Rarely,Rarely,Rarely,Not Applicable,less than an hour,5,5,5,1,Master's Degree,Finance,Urban,4 years ago or higher
26-28,Rarely,Rarely,Occasionally,Frequently,Rarely,Rarely,Not Applicable,1 to 2 hours,4,3,3,1,Master's Degree,Education Teaching,Urban,3 years ago
26-28,Rarely,Rarely,Rarely,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1 to 2 hours,1,1,2,5,Master's Degree,Finance,Urban,4 years ago or higher
Above 28,Rarely,Not Applicable,Rarely,Occasionally,Rarely,Rarely,Rarely,less than an hour,4,3,5,3,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,3 years ago
Above 28,Rarely,Rarely,Occasionally,Rarely,Occasionally,Occasionally,Rarely,greater than 3 hours,3,3,3,4,Bachelor's Degree,Management,Urban,4 years ago or higher
